# Source: Manual Técnico SIFEN v150, Tabla 2.1 (DEPARTAMENTOS, DISTRITOS Y CIUDADES)
# Original file: CODIGO DE REFERENCIA GEOGRAFICA.xlsx (DNIT 2023)
# Generated by: scripts/generate_geo_catalogs.py
codigo,nombre,nombre_display,codigo_padre,activo
331,ISLERIA,ISLERIA,35,1
332,JUAN DE MENA (MUNICIPIO),JUAN DE MENA (MUNICIPIO),35,1
333,LA UNION,LA UNION,35,1
334,ARROYO SAN JOSE,ARROYO SAN JOSE,14,1
335,BARRIENTOS - CUE,BARRIENTOS - CUE,14,1
336,BOGADO - CUE,BOGADO - CUE,14,1
337,CABEZADA,CABEZADA,14,1
338,CAIVO,CAIVO,14,1
339,CAMPO DE ITAPEY,CAMPO DE ITAPEY,14,1
340,CANGUERY,CANGUERY,14,1
341,CAPIIBARY,CAPIIBARY,14,1
342,CARABIY,CARABIY,14,1
343,CARANDY POTRERO,CARANDY POTRERO,14,1
344,CARAPICUA,CARAPICUA,14,1
345,CANADA DE LOURDES,CAÑADA DE LOURDES,14,1
346,CENIZAL,CENIZAL,14,1
347,CERRITO,CERRITO,14,1
348,CERRITO APEPU,CERRITO APEPU,14,1
349,PERRO PAU,PERRO PAU,14,1
350,COE POTI,COE POTI,14,1
351,COE PYTA,COE PYTA,14,1
352,COL. CARPA - CUE,COL. CARPA - CUE,14,1
353,COL. DEFENSORES DEL CHACO,COL. DEFENSORES DEL CHACO,14,1
354,COL. J.R. CHAVEZ,COL. J.R. CHAVEZ,14,1
355,COL. NATIVIDAD,COL. NATIVIDAD,14,1
356,COL. REP. DEL NORTE,COL. REP. DEL NORTE,14,1
357,COL. REPATRIADOS,COL. REPATRIADOS,14,1
358,COL. COE POTY,COL. COE POTY,14,1
359,COSTA PUCU,COSTA PUCU,14,1
360,CUPI - I,CUPI - I,14,1
361,CARDENAS,CARDENAS,14,1
362,ESCALERA - CUE,ESCALERA - CUE,14,1
363,ESTERO PEGUAJHO,ESTERO PEGUAJHO,14,1
364,GIMENEZ,GIMENEZ,14,1
365,GUAICA,GUAICA,14,1
366,GUAY CURUGUA,GUAY CURUGUA,14,1
367,GUAZURETA,GUAZURETA,14,1
368,GUAZU RETA,GUAZU RETA,14,1
369,HACHITA,HACHITA,14,1
370,INDALECIO - CUE,INDALECIO - CUE,14,1
371,INDUSTRIAL - CUE,INDUSTRIAL - CUE,14,1
372,ISLA GUAZU,ISLA GUAZU,14,1
373,ISLA YATEBU,ISLA YATEBU,14,1
374,ITA BEBU,ITA BEBU,14,1
375,ITAPEY,ITAPEY,14,1
376,ITAY,ITAY,14,1
377,JARDIN,JARDIN,14,1
378,JHU,JHU,14,1
379,JUSTO - CUE,JUSTO - CUE,14,1
380,LAGUNA PYTA,LAGUNA PYTA,14,1
381,LOMA FLORIDA,LOMA FLORIDA,14,1
382,MARTINEZ - CUE,MARTINEZ - CUE,14,1
383,MBARIGUI,MBARIGUI,14,1
384,MBOY,MBOY,14,1
385,MBURICA POTRERO,MBURICA POTRERO,14,1
386,MBUTUY,MBUTUY,14,1
387,MOIY LOMA,MOIY LOMA,14,1
388,MOJON,MOJON,14,1
389,MONTE,MONTE,14,1
390,MONTE ALTO,MONTE ALTO,14,1
391,MOVIRE TOQUE,MOVIRE TOQUE,14,1
392,MUNICIPIO,MUNICIPIO,14,1
393,NARANJATY APUA,NARANJATY APUA,14,1
394,NAVIDAD,NAVIDAD,14,1
395,NOGUEIRE - CUE,NOGUEIRE - CUE,14,1
